時間戳記,標題內容(如：商品名稱或網站名稱),網站網址,說明此網站或商品的特徵,上傳你的畫面
2018/6/3 下午 1:43:47,V7 mattress,http://dy.buylove88.com/,特別寫母親節優惠促銷才有的一折優惠，又限兩百組。夏天了，也真的有想買一組吸床塵。,https://drive.google.com/open?id=1DgZsOU4qyCVtwBNrrz7DK2FaoQc9jQ78
2018/6/3 下午 1:44:21,oppoR15星空紫限量100支特價2000,http://www.kxali.com/shine,oppoR15星空紫限量100支特價2000,https://drive.google.com/open?id=1GY3KNdXw-Dt1AshUr1rqkIJ4rjQxLbqK
2018/6/3 下午 1:44:47,Rayban,http://www.rbtww.com/rb4228-601s71-p-376.html,一頁式網站，且多扣費用,https://drive.google.com/open?id=1rXRIZkEYZ-87__r2YMR3dohegw6aA2tS
2018/6/3 下午 1:45:17,"新款韓版運動女鞋,",http://51poiuyty.top/y8jklh,"終於降價了,只敢賣一次,貨到付款,先驗貨,再付款,不見貨不給錢,七天超長鑒賞,無憂退換",https://drive.google.com/open?id=1UEEDt-TakDB-Jn6MS2fitRG4zHNzg740
2018/6/3 下午 1:45:45,奇摩殺價團,http://nz002.paygosale.com/,匯錢了卻找不到客服人員,https://drive.google.com/open?id=1Fbq42tZkd0B4260tiDohneaqeFkc0kvh
2018/6/3 下午 1:46:09,Mancity,http://mancity.cc,說是批發 滿1000免運 都騙人的 是大陸人騙人的網站,https://drive.google.com/open?id=1CRuEtIdcXRiegolp5UN0INjfiTYoh4pQ
2018/6/3 下午 1:46:38,【官方站】WaxVac潔耳神器,http://waxjieer.top/,無,https://drive.google.com/open?id=1AgnQw5uNivUHocUJd3s6tm6zVxi_7sF1
2018/6/3 下午 1:47:09,Apple AirPod,http://ttairs.711mall.top/,貨到付款，聯絡信箱用 Yahoo，價格過低,https://drive.google.com/open?id=1REPxML56j5Nx6mcmo1zfYMp8tigzyJtr
2018/6/3 下午 1:47:34,世界足療之父吳若石,http://www.miseari.com/,這是詐騙網站,https://drive.google.com/open?id=1QmY3vRtgU9bQUCNMUAGVTm8_pzJ1zPHw
2018/6/3 下午 1:48:03,Beats Studio3 wireless earphone,http://studio3.storeqq.com/,"此網頁貼betas studio 官網照片, 寄來實物劣質雜牌耳機, 只有信箱沒電話~",https://drive.google.com/open?id=11-WycZ4sSrQ8FkS8Xuq8XmDsDaowGVFi
2018/6/3 下午 1:48:31,有好貨 X 瘋殼網,https://phonecase.tw/BLACKLEAF-IVISION-AG,沒有公司地址 只有FB和LINE帳戶 有網友問有沒有實體店面 粉專只回可面交,https://drive.google.com/open?id=1cmRoBTLfqosiqILflGAKUIexGUUIh-Ce
2018/6/3 下午 1:49:00,怪網頁賣茶具,http://lp.martdealer.com/DAJ52134/180102161506/index.html,一直在到數，購買人一直出現，誇張超低價，客戶傳來時才注意到著想奇怪網站。,https://drive.google.com/open?id=1ALphn49fkKuOtjvfpPDld3nolA6VNFrC
2018/6/3 下午 1:49:27,Line 貼圖 母親節活動,https://www.linestore.me/,在賴中假裝可以申請母親節活動貼圖 並導引到詐騙網站騙大家邀請朋友分享以獲取帳號與個資,https://drive.google.com/open?id=1ZIlftCnayY2metUj835L5QOflajCWRld
2018/6/3 下午 1:49:50,高端★★★★★男士偏光太陽鏡,http://cotwweb.com/2612080128,東西少給，售後不理,https://drive.google.com/open?id=1kboKv3ZSfYuNVsbc4gkPEJjvZex_F2u2
2018/6/3 下午 1:50:16,真心想去痘和痘印的朋友，請務必花5分鍾時間認真看完全文。,http://yh.mexinxi.cn/,無,https://drive.google.com/open?id=1EHFe1FAzxb4gryRbNKIoPqCJkAaNSRZZ
2018/6/3 下午 2:45:59,mancity,http://www.mancity.com,廣告打很兇 被騙的人那麼多 沒人奈何得了嗎？,https://drive.google.com/open?id=1ZclAGMJoXtwZ_wm2ui05SemsO1o0_N-J
2018/6/17 下午 7:22:22,任天堂SWITCH,http://switch.salesii.com/,商品不實，寄來的是垃圾掌機跟超大行動電源,https://drive.google.com/open?id=1zc0-ehpl7oqIlr8Z2yT3-j7y_T22hYc3
